STNAME,STCD,river,point_id
小高坎,371003111262000,39,1
大高坎,371003111261000,34,2
亮夼,371003111264000,24,3
板桥,371003111225000,30,4
牟村,371003111259000,27,5
大产村,371003111229000,41,6
倪家产,371003111230000,32,7
小界石,371003111223000,29,8
大界石,371003111222000,33,9
场东,371003111224000,28,10
蒋家疃,371003111258000,25,11
蒿耩,371003111257000,37,12
洪家店,371003111257001,26,13
石头河,371003111260000,38,14
王家庄,371003111226000,23,15
旸里村,371003111249000,16,16
南店子村,371003111253000,20,17
旸里店,371003111254000,20,18
阎家庄,371003111256000,20,19
南鲁家埠,371003111241000,22,20
北鲁家埠,371003111242000,17,21
鞠北庄,371003111227000,15,22
张格庄,371003111236000,14,23
永平村,371003111240000,12,24
河东村,371003111239000,11,25
阎家泊子,371003111248000,8,26
姜家泊子,371003111247000,6,27
王家泊子,371003111246000,5,28
店子头,371003111245000,4,29
西院下,371003111244000,9,30
西北道,371071108205000,2,31
长夼,371071108202000,2,32
小馆,371071108203000,2,33
长夼店,371071108201000,2,34
靠山,371071108233000,2,35
远庄,371071108208000,4,36
佃里院,371071108206000,2,37
莱山,371071108207000,2,38
小河北,371071108204000,2,39
